document_type,lead_paragraph,web_url,publication_date
article,"Since I first watched the movie “Clueless,” I’ve dreamed about the closet of the main character, Cher Horowitz: specifically, the outfit-picking computer.",https://www.nytimes.com/2023/05/05/style/chatgpt-ai-stylist-fashion.html,2023-05-05T09:00:34+0000
article,"Once you start using ChatGPT you pretty much can’t stop. You begin with trivial, gimmicky prompts: Do this math problem. Tell me some vegetarian recipes with broccoli and peas. What came first, the jock or the jockstrap?",https://www.nytimes.com/2023/04/21/opinion/chatgpt-journalism.html,2023-04-21T09:00:19+0000
article,"Prepare to wait awhile longer for the return of “Stranger Things,” “Abbott Elementary” and a number of other beloved TV shows.",https://www.nytimes.com/2023/05/10/insider/wga-writers-strike-explained.html,2023-05-10T07:00:12+0000
article,"By midyear, all of Morgan Stanley’s thousands of wealth advisers are expected to have access to a new artificial-intelligence-powered chat tool.",https://www.nytimes.com/2023/05/08/business/dealbook/ai-workplace-changes.html,2023-05-08T15:44:22+0000
article,"Five hours is enough time to watch a Mets game. It is enough time to listen to the Spice Girls’ “Spice” album (40 minutes), Paul Simon’s “Paul Simon” album (42 minutes) and Gustav Mahler’s third symphony (his longest). It is enough time to roast a chicken, text your friends that you’ve roasted a chicken and prepare for an impromptu dinner party.",https://www.nytimes.com/2023/05/07/business/ai-chatbot-messaging-work.html,2023-05-07T09:00:08+0000
article,"The White House on Thursday pushed Silicon Valley chief executives to limit the risks of artificial intelligence, in the administration’s most visible effort to confront rising questions and calls to regulate the rapidly advancing technology.",https://www.nytimes.com/2023/05/04/technology/us-ai-research-regulation.html,2023-05-04T09:00:29+0000
article,"Sal Khan is an uber-nerd, and that’s why people love him. In early 2020, to demonstrate that Khan Academy, his platform for free online education, was a worthy cause, he didn’t produce a brochure with smiling children and glowing testimonials. He made one of his teaching videos, with the usual black screen, colored pens and handwritten equations. The phrase “standard deviation” came up a lot. He multiplied the number of highly active users of his program by their average academic improvement, then linked that to the resulting increase in their projected lifetime earnings, compared it to operating costs and, presto, showed a benefit-cost ratio of 480 to 1, or around 240 to 1 if calculating only the benefits to students in high-need schools.",https://www.nytimes.com/2023/05/03/opinion/chatgpt-ai-khan-academy.html,2023-05-03T19:00:03+0000
article,When did The New York Times first report on “artificial intelligence”?,https://www.nytimes.com/2023/05/01/business/ai-chatbots-hallucination.html,2023-05-01T09:00:27+0000
multimedia,A.I. entrepreneur Gary Marcus thinks the technology is too important to cede to corporate control.,https://www.nytimes.com/interactive/2023/05/02/magazine/ai-gary-marcus.html,2023-05-02T09:00:02+0000
article,"Geoffrey Hinton was an artificial intelligence pioneer. In 2012, Dr. Hinton and two of his graduate students at the University of Toronto created technology that became the intellectual foundation for the A.I. systems that the tech industry’s biggest companies believe is a key to their future.",https://www.nytimes.com/2023/05/01/technology/ai-google-chatbot-engineer-quits-hinton.html,2023-05-01T09:00:21+0000
